a_id,x,y,species
1546,154,176,carnivore
1703,72,143,livestock
1956,8,251,herbivore
1438,273,18,herbivore
1812,192,99,livestock
1370,295,285,herbivore
1437,264,8,herbivore
1662,267,229,livestock
1704,64,149,livestock
1663,265,238,livestock
1646,87,223,livestock
1823,190,103,livestock
1373,193,42,herbivore
1356,25,26,herbivore
1466,154,64,herbivore
1739,97,157,livestock
1625,176,149,livestock
1669,221,187,livestock
1814,196,97,livestock
1388,282,163,herbivore
1570,267,95,livestock
1745,110,166,livestock
1574,157,137,livestock
1338,229,195,herbivore
1636,183,188,livestock
1342,13,248,herbivore
1725,177,128,livestock
1526,298,169,carnivore
1769,182,247,livestock
1504,176,254,carnivore
1374,42,41,herbivore
1807,187,96,livestock
1724,172,136,livestock
1604,208,208,livestock
1341,16,278,herbivore
1753,112,162,livestock
1621,171,152,livestock
1497,48,50,herbivore
1819,197,103,livestock
1521,99,160,carnivore
1539,114,49,carnivore
1670,218,185,livestock
1672,220,188,livestock
1808,194,102,livestock
1661,264,226,livestock
1610,202,219,livestock
1548,158,59,carnivore
1357,9,60,herbivore
1580,154,140,livestock
1635,186,183,livestock
1678,211,193,livestock
1336,182,72,herbivore
1612,207,210,livestock
1448,130,223,herbivore
1304,287,114,herbivore
1578,156,133,livestock
1372,6,294,herbivore
1475,143,206,herbivore
1585,151,144,livestock
1783,147,175,livestock
1378,200,157,herbivore
1719,180,140,livestock
1528,57,214,carnivore
1325,90,126,herbivore
1354,255,142,herbivore
1559,106,146,livestock
1818,195,105,livestock
1519,197,52,carnivore
1313,73,183,herbivore
2058,50,263,herbivore
1362,13,171,herbivore
1326,6,60,herbivore
1449,179,75,herbivore
1302,299,179,herbivore
1637,183,187,livestock
1395,104,112,herbivore
1344,240,238,herbivore
1698,63,146,livestock
1811,186,105,livestock
1333,34,121,herbivore
1458,250,270,herbivore
1732,167,132,livestock
2067,112,165,livestock
1714,148,33,livestock
1494,161,163,herbivore
1642,85,226,livestock
1398,75,233,herbivore
1506,12,80,carnivore
1582,152,140,livestock
1535,155,241,carnivore
1319,237,234,herbivore
1409,34,121,herbivore
1560,100,136,livestock
1767,178,252,livestock
1680,219,194,livestock
1792,93,219,livestock
1566,266,94,livestock
1360,52,111,herbivore
1565,105,135,livestock
1588,258,50,livestock
1538,93,185,carnivore
1315,271,163,herbivore
1681,211,194,livestock
1723,177,135,livestock
1825,186,95,livestock
1770,186,256,livestock
