step,insect,bird,herbivore,carnivore,livestock,landholder,total_grass,total_fenced_area
0,1000,300,200,50,275,0,0.0,121
1,1027,302,201,50,278,0,89859.06000000043,121
2,1042,303,202,51,279,0,89726.19999999987,121
2,1042,303,202,51,279,0,89726.19999999987,121
3,1064,304,203,51,281,0,89600.4000000006,121
4,1085,305,204,51,282,0,89481.0200000003,121
4,1085,305,204,51,282,0,89481.0200000003,121
5,1098,307,204,52,283,0,89370.31999999979,121
6,1113,307,205,52,285,0,89266.0599999998,121
6,1113,307,205,52,285,0,89266.0599999998,121
7,1130,310,205,52,287,0,89167.63999999996,121
8,1158,312,208,52,289,0,89074.28000000001,121
8,1158,312,208,52,289,0,89074.28000000001,121
9,1173,313,208,52,289,0,88985.31999999996,121
10,1189,313,211,52,291,0,88903.30000000015,121
10,1189,313,211,52,291,0,88903.30000000015,121
11,1203,318,211,53,292,0,88823.9,121
12,1214,320,213,54,293,0,88746.84000000001,121
12,1214,320,213,54,293,0,88746.84000000001,121
13,1235,320,215,54,298,0,88674.90000000005,121
14,1255,321,217,54,302,0,88605.86000000013,121
14,1255,321,217,54,302,0,88605.86000000013,121
15,1276,322,218,54,304,0,88539.28000000014,121
16,1298,323,220,54,308,0,88473.65999999961,121
16,1298,323,220,54,308,0,88473.65999999961,121
17,1329,325,224,54,312,0,88410.38,121
18,1345,325,229,54,320,0,88350.2400000003,121
18,1345,325,229,54,320,0,88350.2400000003,121
19,1373,329,229,55,322,0,88291.19999999969,121
20,1405,329,234,56,325,0,88237.5799999998,121
20,1405,329,234,56,325,0,88237.5799999998,121
21,1427,333,234,56,328,0,88181.23999999998,121
22,1452,334,234,56,330,0,88129.51999999986,121
22,1452,334,234,56,330,0,88129.51999999986,121
23,1482,337,234,57,334,0,88075.64000000033,121
24,1504,337,236,57,337,0,88022.62000000008,121
24,1504,337,236,57,337,0,88022.62000000008,121
25,1524,339,235,13,341,0,87971.36000000004,121
26,1552,339,236,13,345,0,87922.43999999989,121
26,1552,339,236,13,345,0,87922.43999999989,121
27,1575,342,239,12,346,0,87873.49999999997,121
28,1612,347,241,12,350,0,87825.43999999984,121
28,1612,347,241,12,350,0,87825.43999999984,121
29,1645,348,242,12,356,0,87774.31999999989,121
30,1672,348,244,12,356,0,87730.12000000001,121
30,1672,348,244,12,356,0,87730.12000000001,121
31,1701,349,245,12,361,0,87685.59999999966,121
32,1725,353,248,12,363,0,87643.09999999985,121
32,1725,353,248,12,363,0,87643.09999999985,121
33,1740,355,250,12,367,0,87598.11999999962,121
34,1774,356,253,12,369,0,87552.16000000008,121
34,1774,356,253,12,369,0,87552.16000000008,121
35,1808,359,253,13,371,0,87510.65999999995,121
36,1850,360,258,12,375,0,87467.97999999976,121
36,1850,360,258,12,375,0,87467.97999999976,121
37,1882,361,261,11,379,0,87425.49999999994,121
38,1910,361,261,12,381,0,87388.53999999982,121
38,1910,361,261,12,381,0,87388.53999999982,121
39,1932,362,263,12,385,0,87350.28,121
40,1973,363,268,12,387,0,87310.55999999958,121
40,1973,363,268,12,387,0,87310.55999999958,121
41,2008,364,272,12,389,0,87272.10000000002,121
42,2046,365,276,12,389,0,87242.6599999996,121
42,2046,365,276,12,389,0,87242.6599999996,121
43,2083,366,278,12,393,0,87205.8399999996,121
44,2121,368,280,11,400,0,87174.67999999964,121
44,2121,368,280,11,400,0,87174.67999999964,121
45,2153,369,283,11,407,0,87138.26000000001,121
46,2190,369,283,11,413,0,87105.45999999976,121
46,2190,369,283,11,413,0,87105.45999999976,121
47,2224,369,283,11,414,0,87072.71999999962,121
48,2267,370,284,10,419,0,87039.89999999966,121
48,2267,370,284,10,419,0,87039.89999999966,121
49,2315,372,287,7,424,0,87006.87999999952,121
50,2365,373,290,7,430,0,86972.17999999986,121
